Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-165054,"Rev-mediated nuclear export of HIV RNA",10,45,0.002979343220338983,0.07041217239748321,0.6067562471284136,3,10,7.249528780629259E-4,9606,Homo sapiens,"NUP93;RANBP2;NUP133;POM121C;NUP35;NUP98;RANGAP1","","R-HSA-165043;R-HSA-165047;R-HSA-165055"
R-HSA-2559584,"Formation of Senescence-Associated Heterochromatin Foci (SAHF)",5,17,0.0011255296610169492,0.07133999342853714,0.6067562471284136,2,2,1.449905756125852E-4,9606,Homo sapiens,"RB1;HMGA1;HIST1H1E;ASF1A;LMNB1","","R-HSA-3878123;R-HSA-4647594"
R-HSA-198693,"AKT phosphorylates targets in the nucleus",4,12,7.944915254237289E-4,0.07148275039360352,0.6067562471284136,4,4,2.899811512251704E-4,9606,Homo sapiens,"RPS6KB2;AKT3;FOXO3;FOXO1","","R-HSA-199299;R-HSA-199298;R-HSA-199863;R-HSA-199839"
R-HSA-9613354,"Lipophagy",4,12,7.944915254237289E-4,0.07148275039360352,0.6067562471284136,3,5,3.6247643903146296E-4,9606,Homo sapiens,"PRKAB2;PRKAA2;PRKAG2;PRKAB1","","R-HSA-9613530;R-HSA-9613513;R-HSA-9613565"
R-HSA-5653656,"Vesicle-mediated transport",122,828,0.05481991525423729,0.07215637207709402,0.6067562471284136,151,252,0.01826881252718573,9606,Homo sapiens,"ITSN1;GCC1;ACTB;RBMX2;AKT3;KIF21A;DENND5A;KIF21B;SBF1;AGFG1;NSF;PRKAB2;COG5;FNBP1;COG4;SYTL1;TSC2;TSC1;CSNK1D;ANK2;ANK3;PRKAB1;ANK1;DYNC1LI1;DYNC1LI2;RAB31;TBC1D25;ULK1;KDELR3;RIN2;CFTR;OPTN;HSP90B1;TGOLN2;KLC4;KLC3;SCFD1;HSPH1;GRK2;KLC2;KIF3A;PACSIN2;DVL2;PACSIN3;SPTBN1;SEC31A;PACSIN1;SEC16B;DENND4A;SEC16A;RAB3IP;HPS4;ASPSCR1;ARPC5;PUM1;DAB2;GJB1;TMEM115;SYNJ1;GOLGB1;KIF4A;ALB;AAK1;ACBD3;DENND1C;YWHAE;C2CD5;SH3KBP1;CLTC;PRKAG2;MIA2;ARRB1;MIA3;PIK3C2A;BICD2;TUBA1B;PPP6R3;KIF13B;KIF1B;KIF1A;SPTAN1;CAP1;SGIP1;DENND2A;KIF23;AP3B1;EPS15L1;ARFGAP3;ARFGAP2;TBC1D1;TBC1D4;CTTN;MYH9;NAA38;SEC22B;PAFAH1B2;EXOC1;DYNC1I2;NBAS;PRKAA2;TMF1;RABGAP1;DCTN2;USO1;GOSR1;CUX1;VPS53;FCHO2;VPS54;STX4;EPS15;REPS1;GBF1;TPD52L1;TJP1;ST5;KIF26B;TRIP10","","R-HSA-8868230;R-HSA-1445143;R-HSA-8868236;R-HSA-1445149;R-HSA-1445144;R-HSA-2168887;R-HSA-2316347;R-HSA-8876191;R-HSA-8876190;R-HSA-8876446;R-HSA-8876188;R-HSA-2316349;R-HSA-376357;R-HSA-8854182;R-HSA-6807877;R-HSA-6807875;R-HSA-6807872;R-HSA-376364;R-HSA-8867756;R-HSA-8867754;R-HSA-350769;R-HSA-376369;R-HSA-190519;R-HSA-432688;R-HSA-190520;R-HSA-8847544;R-HSA-6811431;R-HSA-8849350;R-HSA-8849348;R-HSA-432706;R-HSA-6811427;R-HSA-6811426;R-HSA-432707;R-HSA-6811425;R-HSA-8854209;R-HSA-8877760;R-HSA-6811433;R-HSA-8849353;R-HSA-432712;R-HSA-190541;R-HSA-8866269;R-HSA-8866268;R-HSA-6807868;R-HSA-6807866;R-HSA-6807864;R-HSA-8868071;R-HSA-8866279;R-HSA-8854759;R-HSA-8863718;R-HSA-8866277;R-HSA-2316352;R-HSA-8874979;R-HSA-8866275;R-HSA-8863471;R-HSA-2507854;R-HSA-8856813;R-HSA-8866283;R-HSA-8868072;R-HSA-8856808;R-HSA-190829;R-HSA-1449574;R-HSA-6811415;R-HSA-6811414;R-HSA-8877813;R-HSA-2173778;R-HSA-6811412;R-HSA-6811411;R-HSA-1454689;R-HSA-8863472;R-HSA-6811423;R-HSA-2247514;R-HSA-8877311;R-HSA-6811422;R-HSA-1454699;R-HSA-6811418;R-HSA-6811417;R-HSA-5694423;R-HSA-5694421;R-HSA-5694418;R-HSA-5694417;R-HSA-5694427;R-HSA-5694425;R-HSA-8847638;R-HSA-8847637;R-HSA-8847635;R-HSA-191636;R-HSA-8854303;R-HSA-8854302;R-HSA-5694415;R-HSA-8871196;R-HSA-8871194;R-HSA-8871193;R-HSA-5694409;R-HSA-190877;R-HSA-8876837;R-HSA-191654;R-HSA-6814671;R-HSA-8877612;R-HSA-8868651;R-HSA-2197645;R-HSA-8868648;R-HSA-5694439;R-HSA-6814678;R-HSA-8868661;R-HSA-5694436;R-HSA-8868660;R-HSA-196017;R-HSA-6814676;R-HSA-8868659;R-HSA-8868658;R-HSA-6814674;R-HSA-5694435;R-HSA-5694433;R-HSA-196026;R-HSA-5694446;R-HSA-8869438;R-HSA-8854588;R-HSA-6814684;R-HSA-434362;R-HSA-6814683;R-HSA-6814682;R-HSA-5694441;R-HSA-8875320;R-HSA-8876615;R-HSA-421831;R-HSA-8933452;R-HSA-203973;R-HSA-6809006;R-HSA-421836;R-HSA-5333658;R-HSA-6809003;R-HSA-421835;R-HSA-8933446;R-HSA-8862280;R-HSA-421833;R-HSA-6809015;R-HSA-6809014;R-HSA-8849748;R-HSA-8854612;R-HSA-6809011;R-HSA-6809010;R-HSA-190681;R-HSA-190687;R-HSA-8848484;R-HSA-190693;R-HSA-190698;R-HSA-204008;R-HSA-6814091;R-HSA-6814090;R-HSA-5260201;R-HSA-191737"
R-HSA-68875,"Mitotic Prophase",24,135,0.00893802966101695,0.0758445308910517,0.6067562471284136,23,34,0.002464839785413948,9606,Homo sapiens,"RB1;RANBP2;NEK9;NUP133;NUMA1;USO1;H2AFX;PHF8;LMNB1;NUP93;POM121C;GORASP2;LMNA;NUP35;HIST1H2BG;NUP98;NCAPD3;TMPO","","R-HSA-2245218;R-HSA-2288097;R-HSA-5229194;R-HSA-2314566;R-HSA-2993898;R-HSA-2172678;R-HSA-2294600;R-HSA-2422927;R-HSA-2990880;R-HSA-2294574;R-HSA-5244669;R-HSA-2990882;R-HSA-2984258;R-HSA-2984226;R-HSA-2984220;R-HSA-2429719;R-HSA-380278;R-HSA-2301205;R-HSA-2172183;R-HSA-2294580;R-HSA-2172666;R-HSA-2980720;R-HSA-2294590"
R-HSA-9619483,"Activation of AMPK downstream of NMDARs",8,34,0.0022510593220338984,0.07684929801559581,0.6147943841247665,3,3,2.1748586341887777E-4,9606,Homo sapiens,"TUBA1B;PRKAB2;PRKAA1;PRKAA2;PRKAG2;MAPT;PRKAB1;CAMKK2","","R-HSA-9619542;R-HSA-9619478;R-HSA-9619515"
R-HSA-170822,"Regulation of Glucokinase by Glucokinase Regulatory Protein",9,40,0.0026483050847457626,0.07831457239522832,0.6265165791618266,1,5,3.6247643903146296E-4,9606,Homo sapiens,"NUP93;RANBP2;NUP133;POM121C;NUP35;NUP98","","R-HSA-170796"
R-HSA-168276,"NS1 Mediated Effects on Host Pathways",10,46,0.0030455508474576272,0.07865595307650586,0.6292476246120469,2,6,4.3497172683775554E-4,9606,Homo sapiens,"NUP93;RANBP2;NUP133;PABPN1;POM121C;NUP35;NUP98","","R-HSA-168883;R-HSA-1176059"
R-HSA-73980,"RNA Polymerase III Transcription Termination",6,23,0.0015227754237288136,0.08011266287646768,0.6409013030117414,2,2,1.449905756125852E-4,9606,Homo sapiens,"NFIX;SSB;NFIA;POLR3GL;NFIB;NFIC","","R-HSA-113449;R-HSA-113454"
R-HSA-5674499,"Negative feedback regulation of MAPK pathway",3,8,5.296610169491525E-4,0.08598931933358789,0.6879145546687031,3,3,2.1748586341887777E-4,9606,Homo sapiens,"MAP2K2;BRAF;RAF1","","R-HSA-5674496;R-HSA-5675198;R-HSA-5675194"
R-HSA-9022537,"Loss of MECP2 binding ability to the NCoR/SMRT complex",3,8,5.296610169491525E-4,0.08598931933358789,0.6879145546687031,1,1,7.24952878062926E-5,9606,Homo sapiens,"NCOR2;MECP2","","R-HSA-9005585"
R-HSA-446388,"Regulation of cytoskeletal remodeling and cell spreading by IPP complex components",3,8,5.296610169491525E-4,0.08598931933358789,0.6879145546687031,3,5,3.6247643903146296E-4,9606,Homo sapiens,"ACTN1;PXN;PARVA","","R-HSA-430308;R-HSA-446372;R-HSA-446322"
R-HSA-5673000,"RAF activation",9,41,0.002714512711864407,0.08781672673501395,0.7010786122248663,12,12,8.699434536755111E-4,9606,Homo sapiens,"BRAP;CAMK2D;MAP2K2;KSR1;ARAF;BRAF;RAF1;CAMK2G;MAP3K11","","R-HSA-5672950;R-HSA-5672966;R-HSA-5672951;R-HSA-5672948;R-HSA-5672960;R-HSA-9653108;R-HSA-5672961;R-HSA-5672958;R-HSA-5672957;R-HSA-5672954;R-HSA-9658445;R-HSA-5672969"
R-HSA-2151209,"Activation of PPARGC1A (PGC-1alpha) by phosphorylation",4,13,8.606991525423729E-4,0.08939030634957279,0.7010786122248663,1,2,1.449905756125852E-4,9606,Homo sapiens,"PRKAB2;PRKAA2;PRKAG2;PRKAB1","","R-HSA-1592244"
R-HSA-2586552,"Signaling by Leptin",4,13,8.606991525423729E-4,0.08939030634957279,0.7010786122248663,8,19,0.0013774104683195593,9606,Homo sapiens,"IRS1;STAT3;IRS2;SH2B1","","R-HSA-2671850;R-HSA-2671868;R-HSA-2671839;R-HSA-2671872;R-HSA-2671873;R-HSA-2730595;R-HSA-2671862;R-HSA-2730599"
R-HSA-5627117,"RHO GTPases Activate ROCKs",6,24,0.0015889830508474577,0.09333105888895477,0.7010786122248663,5,7,5.074670146440482E-4,9606,Homo sapiens,"PAK1;PPP1R12A;LIMK1;MYH9;MYH14;PPP1R12B","","R-HSA-419232;R-HSA-419087;R-HSA-419197;R-HSA-3928608;R-HSA-419083"
R-HSA-5083633,"Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1",2,4,2.6483050847457627E-4,0.09487768571143262,0.7010786122248663,1,1,7.24952878062926E-5,9606,Homo sapiens,"POMT2;DAG1","","R-HSA-5615604"
R-HSA-5083629,"Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2",2,4,2.6483050847457627E-4,0.09487768571143262,0.7010786122248663,1,1,7.24952878062926E-5,9606,Homo sapiens,"POMT2;DAG1","","R-HSA-5615556"
R-HSA-180897,"Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization",2,4,2.6483050847457627E-4,0.09487768571143262,0.7010786122248663,1,2,1.449905756125852E-4,9606,Homo sapiens,"SLC25A5","","R-HSA-180905"
R-HSA-112040,"G-protein mediated events",14,73,0.004833156779661017,0.09560528312917271,0.7010786122248663,27,41,0.002972306800057996,9606,Homo sapiens,"AHCYL2;CAMK2D;ITPR1;ITPR2;ITPR3;CAMKK1;CAMKK2;ADCY9;GRK2;PRKAR2B;PRKAR2A;PLCB1;CAMK2G","","R-HSA-9618834;R-HSA-111879;R-HSA-392206;R-HSA-169683;R-HSA-169680;R-HSA-9668558;R-HSA-111966;R-HSA-442725;R-HSA-111970;R-HSA-112037;R-HSA-8951727;R-HSA-9619125;R-HSA-170666;R-HSA-170671;R-HSA-170674;R-HSA-170672;R-HSA-111925;R-HSA-170676;R-HSA-170677;R-HSA-111930;R-HSA-442749;R-HSA-170686;R-HSA-9617583;R-HSA-9618863;R-HSA-444792;R-HSA-170685;R-HSA-111870"
R-HSA-5357956,"TNFR1-induced NFkappaB signaling pathway",7,30,0.001986228813559322,0.09690077583938761,0.7010786122248663,2,5,3.6247643903146296E-4,9606,Homo sapiens,"CYLD;USP4;RACK1;TNFAIP3;TAB3;OTUD7B;MAP3K7","","R-HSA-5357776;R-HSA-5357860"
R-HSA-5626467,"RHO GTPases activate IQGAPs",8,36,0.0023834745762711866,0.09815815105019199,0.7010786122248663,5,5,3.6247643903146296E-4,9606,Homo sapiens,"TUBA1B;CLIP1;CTNNA1;IQGAP1;IQGAP2;IQGAP3;ACTB;MEN1","","R-HSA-5626549;R-HSA-5626469;R-HSA-5672304;R-HSA-5626507;R-HSA-5672329"
R-HSA-194138,"Signaling by VEGF",24,140,0.009269067796610169,0.10174348760778895,0.7010786122248663,40,86,0.0062345947513411624,9606,Homo sapiens,"PRR5;AHCYL2;TGFB1I1;CTNND1;PXN;ITPR1;ITPR2;HSPB1;ITPR3;PIK3R1;ACTB;PAK1;AKT3;CTNNA1;RICTOR;PLCG1;WASF2;JUP;PDPK1;BAIAP2;PTK2;VAV2;ABI2;ABI1;BCAR1","","R-HSA-5218830;R-HSA-5218828;R-HSA-167686;R-HSA-5218826;R-HSA-2029465;R-HSA-5218822;R-HSA-5218821;R-HSA-5218820;R-HSA-434637;R-HSA-5218819;R-HSA-169683;R-HSA-169680;R-HSA-5357445;R-HSA-5218839;R-HSA-5218838;R-HSA-5218645;R-HSA-4420121;R-HSA-5218643;R-HSA-5218642;R-HSA-5218640;R-HSA-2317314;R-HSA-5218855;R-HSA-4420202;R-HSA-8951586;R-HSA-5218916;R-HSA-5218852;R-HSA-5218851;R-HSA-5218850;R-HSA-2316429;R-HSA-4420083;R-HSA-5357472;R-HSA-198640;R-HSA-5218811;R-HSA-5357477;R-HSA-5218809;R-HSA-5357479;R-HSA-5357483;R-HSA-4420153;R-HSA-3928647;R-HSA-198270"
R-HSA-9659379,"Sensory processing of sound",16,87,0.005760063559322034,0.10355471546754225,0.7010786122248663,5,13,9.424387414818037E-4,9606,Homo sapiens,"CAP1;CASK;MSN;TWF1;ATP2B1;SYN1;ACTB;EPS8;CACNB2;PCLO;EPB41L1;EPB41L3;MYH9;EPS8L2;SPTAN1;SPTBN1","","R-HSA-9663363;R-HSA-9662096;R-HSA-9664214;R-HSA-9659380;R-HSA-9659515"
R-HSA-8856828,"Clathrin-mediated endocytosis",27,161,0.010659427966101694,0.10508201780060888,0.7010786122248663,28,35,0.0025373350732202406,9606,Homo sapiens,"SH3KBP1;CLTC;ITSN1;ARRB1;PIK3C2A;ACTB;TGOLN2;GRK2;FCHO2;DVL2;PACSIN2;PACSIN3;EPS15;REPS1;AGFG1;PACSIN1;FNBP1;SGIP1;ARPC5;EPS15L1;DAB2;SYNJ1;CTTN;AAK1;TRIP10;CFTR","","R-HSA-8868230;R-HSA-8868236;R-HSA-8862280;R-HSA-8866269;R-HSA-8871196;R-HSA-8866268;R-HSA-8871194;R-HSA-8871193;R-HSA-8868071;R-HSA-8866279;R-HSA-8863718;R-HSA-8866277;R-HSA-8866275;R-HSA-8863471;R-HSA-8856813;R-HSA-8867756;R-HSA-8868651;R-HSA-8866283;R-HSA-8867754;R-HSA-8868072;R-HSA-8868648;R-HSA-8856808;R-HSA-8868661;R-HSA-8868660;R-HSA-8868659;R-HSA-8868658;R-HSA-8863472;R-HSA-8869438"
R-HSA-5655302,"Signaling by FGFR1 in disease",10,49,0.0032441737288135594,0.10681738704572752,0.7010786122248663,19,35,0.0025373350732202406,9606,Homo sapiens,"ZMYM2;CUX1;STAT3;GAB1;TRIM24;MYO18A;FGFR1OP;PLCG1;PIK3R1;GAB2","","R-HSA-1839100;R-HSA-1839102;R-HSA-1839039;R-HSA-1839065;R-HSA-1839098;R-HSA-5655263;R-HSA-1839094;R-HSA-1839031;R-HSA-1839095;R-HSA-5655290;R-HSA-1839091;R-HSA-1839112;R-HSA-1839080;R-HSA-1839114;R-HSA-1839078;R-HSA-1839110;R-HSA-1888198;R-HSA-5655240;R-HSA-1839107"
R-HSA-421270,"Cell-cell junction organization",13,68,0.004502118644067797,0.10705300595258027,0.7010786122248663,14,21,0.0015224010439321444,9606,Homo sapiens,"PATJ;JUP;CTNND1;MPP5;ACTB;SDK1;CLDN10;CLDN5;AFDN;PARD3;CDH11;CTNNA1;NECTIN1","","R-HSA-420582;R-HSA-420580;R-HSA-5692437;R-HSA-419011;R-HSA-433711;R-HSA-419981;R-HSA-420598;R-HSA-420661;R-HSA-373745;R-HSA-420019;R-HSA-433725;R-HSA-419002;R-HSA-419003;R-HSA-419001"
R-HSA-1445148,"Translocation of SLC2A4 (GLUT4) to the plasma membrane",15,81,0.005362817796610169,0.10756845190138076,0.7010786122248663,10,15,0.001087429317094389,9606,Homo sapiens,"YWHAE;PRKAB2;C2CD5;PRKAA2;ASPSCR1;PRKAG2;PRKAB1;ACTB;TBC1D1;TUBA1B;TBC1D4;KIF3A;MYH9;STX4;EXOC1","","R-HSA-1449574;R-HSA-1445143;R-HSA-2316352;R-HSA-1454689;R-HSA-2316347;R-HSA-5260201;R-HSA-1445149;R-HSA-1454699;R-HSA-2316349;R-HSA-1445144"
R-HSA-69278,"Cell Cycle, Mitotic",88,596,0.03945974576271186,0.10778616905906835,0.7010786122248663,246,352,0.025518341307814992,9606,Homo sapiens,"TOP2A;RB1;YWHAE;GSK3B;AHCTF1;NUMA1;CETN2;CEP164;LMNB1;PHF8;CDC20;PCM1;NIPBL;TUBA1B;CDC23;DBT;AKT3;NUF2;PSMD1;CCNL1;TMPO;NDEL1;NUDC;CEP135;PPP1R12A;NUP133;RFC1;H2AFX;CEP131;CSNK2A2;CASK;CSNK1D;KIF23;RANGAP1;CKAP5;NUP93;EML4;RBL2;DYNC1LI1;CLIP1;DYNC1LI2;TFDP2;GORASP2;AKAP9;PSME2;NUP98;HIST1H2BG;PPP1R12B;ANAPC1;OPTN;MCM2;DYNC1I2;DCTN2;USO1;RPN1;NCAPG;PDS5B;CENPA;PSMB10;CENPC;POM121C;PRKAR2B;LMNA;SPP1;BUB3;PCNT;CLASP1;CLASP2;RANBP2;NEK9;RRM2;CEP152;CDK7;TAOK1;CROCC;CDK2;NUP35;FGFR1OP;NCAPD3;CC2D1A","","R-HSA-375302;R-HSA-156673;R-HSA-2562594;R-HSA-69127;R-HSA-8961678;R-HSA-156682;R-HSA-8961665;R-HSA-174088;R-HSA-187916;R-HSA-8961671;R-HSA-8961688;R-HSA-9647746;R-HSA-69140;R-HSA-2545203;R-HSA-69142;R-HSA-69144;R-HSA-174104;R-HSA-174105;R-HSA-174110;R-HSA-187934;R-HSA-69152;R-HSA-380455;R-HSA-187937;R-HSA-174119;R-HSA-9018017;R-HSA-174122;R-HSA-174120;R-HSA-8961699;R-HSA-174121;R-HSA-75820;R-HSA-187948;R-HSA-187949;R-HSA-75825;R-HSA-2470935;R-HSA-187959;R-HSA-174132;R-HSA-174139;R-HSA-2245218;R-HSA-174144;R-HSA-2545253;R-HSA-69191;R-HSA-69195;R-HSA-174159;R-HSA-69199;R-HSA-174157;R-HSA-174164;R-HSA-380508;R-HSA-174171;R-HSA-174174;R-HSA-170076;R-HSA-170087;R-HSA-69227;R-HSA-141423;R-HSA-174195;R-HSA-2484822;R-HSA-141429;R-HSA-174202;R-HSA-174203;R-HSA-8942836;R-HSA-141437;R-HSA-187520;R-HSA-174209;R-HSA-8962050;R-HSA-9615901;R-HSA-174227;R-HSA-174224;R-HSA-174235;R-HSA-8848414;R-HSA-2473151;R-HSA-8854044;R-HSA-174238;R-HSA-2995376;R-HSA-187552;R-HSA-2422927;R-HSA-3000449;R-HSA-174255;R-HSA-5244669;R-HSA-8854071;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-174273;R-HSA-5229194;R-HSA-2993898;R-HSA-179410;R-HSA-157906;R-HSA-2529015;R-HSA-9615937;R-HSA-2529020;R-HSA-2172666;R-HSA-8961619;R-HSA-179417;R-HSA-9615945;R-HSA-8961620;R-HSA-179421;R-HSA-2468039;R-HSA-2473152;R-HSA-4088024;R-HSA-8961632;R-HSA-8961636;R-HSA-2468041;R-HSA-2468040;R-HSA-8961651;R-HSA-9648017;R-HSA-8964492;R-HSA-8852354;R-HSA-8961934;R-HSA-8961920;R-HSA-8964482;R-HSA-2990880;R-HSA-2294574;R-HSA-2990882;R-HSA-2984226;R-HSA-8961946;R-HSA-2520883;R-HSA-2294580;R-HSA-8853405;R-HSA-8964498;R-HSA-188191;R-HSA-2294590;R-HSA-8961961;R-HSA-8964525;R-HSA-2172678;R-HSA-8961952;R-HSA-8964513;R-HSA-9686969;R-HSA-8853419;R-HSA-176942;R-HSA-68913;R-HSA-2984220;R-HSA-2466068;R-HSA-2429719;R-HSA-68914;R-HSA-68917;R-HSA-68916;R-HSA-8961982;R-HSA-2301205;R-HSA-2172183;R-HSA-68919;R-HSA-68918;R-HSA-9634219;R-HSA-8964531;R-HSA-8961972;R-HSA-9659820;R-HSA-1362261;R-HSA-9648089;R-HSA-68940;R-HSA-8964550;R-HSA-8961991;R-HSA-68944;R-HSA-68948;R-HSA-9686980;R-HSA-68950;R-HSA-9618378;R-HSA-1363276;R-HSA-8964561;R-HSA-68954;R-HSA-2980720;R-HSA-113503;R-HSA-8964567;R-HSA-113504;R-HSA-9648114;R-HSA-68960;R-HSA-8964588;R-HSA-2314566;R-HSA-1363314;R-HSA-8978926;R-HSA-2294600;R-HSA-8964580;R-HSA-2984258;R-HSA-1363303;R-HSA-380278;R-HSA-380272;R-HSA-1363311;R-HSA-1226094;R-HSA-1226095;R-HSA-380283;R-HSA-1363306;R-HSA-8962039;R-HSA-2514854;R-HSA-380294;R-HSA-1227670;R-HSA-1227671;R-HSA-380303;R-HSA-1638803;R-HSA-69005;R-HSA-380311;R-HSA-1363328;R-HSA-3002811;R-HSA-69015;R-HSA-1363331;R-HSA-380316;R-HSA-69016;R-HSA-2468287;R-HSA-69019;R-HSA-9668405;R-HSA-9668415;R-HSA-9624893;R-HSA-9668389;R-HSA-8961840;R-HSA-9668395;R-HSA-188345;R-HSA-69562;R-HSA-69053;R-HSA-1638821;R-HSA-188350;R-HSA-8961846;R-HSA-8852280;R-HSA-2288097;R-HSA-2467809;R-HSA-69063;R-HSA-2467811;R-HSA-69068;R-HSA-8852298;R-HSA-8961863;R-HSA-9668419;R-HSA-188371;R-HSA-3000319;R-HSA-69074;R-HSA-8852306;R-HSA-198613;R-HSA-2574845;R-HSA-8961874;R-HSA-3000310;R-HSA-2574840;R-HSA-188386;R-HSA-2468293;R-HSA-188390;R-HSA-174054;R-HSA-8961888;R-HSA-174058;R-HSA-113643;R-HSA-9634169;R-HSA-174057;R-HSA-8961895;R-HSA-8964475;R-HSA-8961915;R-HSA-174070;R-HSA-2467794;R-HSA-2562526;R-HSA-8964465;R-HSA-8961907;R-HSA-69116;R-HSA-174079;R-HSA-169468;R-HSA-8964471"
R-HSA-111933,"Calmodulin induced events",9,43,0.0028469279661016947,0.10877639894010882,0.7010786122248663,13,23,0.0016673916195447296,9606,Homo sapiens,"CAMK2D;ADCY9;GRK2;PRKAR2B;PRKAR2A;CAMK2G;CAMKK1;CAMKK2","","R-HSA-9618834;R-HSA-442725;R-HSA-111970;R-HSA-8951727;R-HSA-9619125;R-HSA-111925;R-HSA-111930;R-HSA-442749;R-HSA-9617583;R-HSA-9668558;R-HSA-9618863;R-HSA-444792;R-HSA-111966"
R-HSA-111997,"CaM pathway",9,43,0.0028469279661016947,0.10877639894010882,0.7010786122248663,13,24,0.0017398869073510222,9606,Homo sapiens,"CAMK2D;ADCY9;GRK2;PRKAR2B;PRKAR2A;CAMK2G;CAMKK1;CAMKK2","","R-HSA-9618834;R-HSA-442725;R-HSA-111970;R-HSA-8951727;R-HSA-9619125;R-HSA-111925;R-HSA-111930;R-HSA-442749;R-HSA-9617583;R-HSA-9668558;R-HSA-9618863;R-HSA-444792;R-HSA-111966"
R-HSA-210747,"Regulation of gene expression in early pancreatic precursor cells",4,14,9.26906779661017E-4,0.10922399948225203,0.7010786122248663,4,6,4.3497172683775554E-4,9606,Homo sapiens,"PDX1;PTF1A","","R-HSA-210769;R-HSA-210773;R-HSA-210788;R-HSA-210780"
R-HSA-5357786,"TNFR1-induced proapoptotic signaling",4,14,9.26906779661017E-4,0.10922399948225203,0.7010786122248663,1,3,2.1748586341887777E-4,9606,Homo sapiens,"CYLD;USP4;TNFAIP3;OTUD7B","","R-HSA-140978"
R-HSA-8869496,"TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation",3,9,5.958686440677966E-4,0.11181081352971212,0.7010786122248663,7,7,5.074670146440482E-4,9606,Homo sapiens,"NPM1;NOP2","","R-HSA-8869543;R-HSA-8869558;R-HSA-8869542;R-HSA-8869568;R-HSA-8869566;R-HSA-8869549;R-HSA-8869560"
R-HSA-9634597,"GPER1 signaling",11,56,0.003707627118644068,0.1140845218862987,0.7010786122248663,9,10,7.249528780629259E-4,9606,Homo sapiens,"ITGB1;ADCY9;PRKAR2B;SHC1;PRKAR2A;GNAS;ITGA5;GNG12","","R-HSA-163617;R-HSA-9624017;R-HSA-392129;R-HSA-111925;R-HSA-9036301;R-HSA-8951727;R-HSA-9036307;R-HSA-9624014;R-HSA-9036308"
R-HSA-1660499,"Synthesis of PIPs at the plasma membrane",13,69,0.004568326271186441,0.11586795815773576,0.7010786122248663,15,33,0.0023923444976076554,9606,Homo sapiens,"PI4K2B;MTMR3;SYNJ1;TEP1;INPP5D;INPP5J;PIK3R1;PIK3C2A;PI4K2A;PIK3CG;MTM1","","R-HSA-6809254;R-HSA-1675994;R-HSA-199456;R-HSA-1675836;R-HSA-1676177;R-HSA-1676048;R-HSA-6809325;R-HSA-1676149;R-HSA-1675988;R-HSA-6809320;R-HSA-1676203;R-HSA-1675949;R-HSA-1676109;R-HSA-6809309;R-HSA-1675780"
R-HSA-9663891,"Selective autophagy",16,89,0.005892478813559322,0.11896902262931708,0.7010786122248663,26,48,0.0034797738147020443,9606,Homo sapiens,"DYNC1I2;PRKAB2;PRKAA2;CSNK2A2;PRKAG2;CASK;PARK7;PRKAB1;DYNC1LI1;TUBA1B;DYNC1LI2;ULK1;VIM;PCNT;SQSTM1;CFTR","","R-HSA-9646354;R-HSA-9639698;R-HSA-9646679;R-HSA-9641111;R-HSA-9664855;R-HSA-9641109;R-HSA-9613530;R-HSA-9646685;R-HSA-8948039;R-HSA-5205663;R-HSA-9646347;R-HSA-9641096;R-HSA-9613513;R-HSA-5205649;R-HSA-9646348;R-HSA-8948136;R-HSA-9640114;R-HSA-9664881;R-HSA-9664880;R-HSA-9646390;R-HSA-5205673;R-HSA-9664892;R-HSA-9613565;R-HSA-9641127;R-HSA-8948146;R-HSA-9646383"
R-HSA-918233,"TRAF3-dependent IRF activation pathway",5,20,0.0013241525423728813,0.1191845064935525,0.7010786122248663,9,11,7.974481658692185E-4,9606,Homo sapiens,"IFIH1;CAP1;CREBBP;MAVS;TRIM25","","R-HSA-1028815;R-HSA-1028812;R-HSA-9705137;R-HSA-918232;R-HSA-918229;R-HSA-9705320;R-HSA-918227;R-HSA-1028817;R-HSA-918225"
R-HSA-9616333,"Defective Base Excision Repair Associated with NTHL1",1,1,6.620762711864407E-5,0.12088917428525914,0.7010786122248663,6,6,4.3497172683775554E-4,9606,Homo sapiens,"NTHL1","","R-HSA-9630055;R-HSA-9630053;R-HSA-9630043;R-HSA-9630047;R-HSA-9630044;R-HSA-9630045"
R-HSA-9630222,"Defective NTHL1 substrate binding",1,1,6.620762711864407E-5,0.12088917428525914,0.7010786122248663,4,4,2.899811512251704E-4,9606,Homo sapiens,"NTHL1","","R-HSA-9630043;R-HSA-9630047;R-HSA-9630044;R-HSA-9630045"
R-HSA-9630221,"Defective NTHL1 substrate processing",1,1,6.620762711864407E-5,0.12088917428525914,0.7010786122248663,2,2,1.449905756125852E-4,9606,Homo sapiens,"NTHL1","","R-HSA-9630055;R-HSA-9630053"
