High,Master Protein,Q5SUF2,Luc7l3,Luc7-like protein 3,Luc7-like protein 3 OS=Mus musculus OX=10090 GN=Luc7l3 PE=1 SV=1,12,4,5,4,4,51.4,9.77,9.66,4,cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes,nucleus,nucleic acid binding activity,,,2.511,5.17E-01,,2.093,6.79E-01,,1.071,1.00E+00,,0.751,9.61E-01,,3410123.25,9496667,5349093,4365310,999810.0625,16640233.5,3005245,,20926989.5,5519355.438,10866213.94,14619963.5,25926186.25,6849676.25,11458784,5568029.75,17027806.38,5012073.25,2166109.75,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,9350246.555,18948260.41,14914364.15,12432199.28,8024475.885,18685187.39,14299464.32,3760017.225,32364840.64,25199032.43,20459125.07,22614543.77,33992913.8,15914758.29,24320287.9,14088355.94,28235692.68,9340138.159,10263483.79,5626959.231
High,Master Protein,O70325,Gpx4,Phospholipid hydroperoxide glutathione peroxidase,Phospholipid hydroperoxide glutathione peroxidase OS=Mus musculus OX=10090 GN=Gpx4 PE=1 SV=4,28,5,42,5,5,22.2,8.46,84.76,5,cell organization and biogenesis;other metabolic processes;stress response;other biological processes,cytosol;mitochondrion;nucleus;other cell component,other molecular function,Synthesis of 15-eicosatetraenoic acid derivatives; Synthesis of 12-eicosatetraenoic acid derivatives; Biosynthesis of D-series resolvins; Biosynthesis of E-series 18(S)-resolvins; Biosynthesis of aspirin-triggered D-series resolvins; Biosynthesis of E-series 18(R)-resolvins,Selenium metabolism / selenoproteins; Metapathway biotransformation; Selenium micronutrient network; Folic acid network; Glutathione metabolism; One-carbon metabolism and related pathways; Oxidative stress and redox pathway; Glutathione and one-carbon metabolism,0.846,5.22E-01,,0.819,6.52E-01,,0.838,6.34E-01,,0.774,7.65E-01,,137852197,145109385,140981741,152383272,67727089.22,127356475,64728372.5,60675456.13,111621424,22936694.5,170566110.5,110531985,126940658,98469253.38,108957749.5,90978743,118707174,124116970,79006832.5,102028177,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,224073339.2,226886170.1,285708292.9,268966178.7,217342833.5,129651913.8,219267924.1,168747506.9,172201593.2,88726890.06,290404314.9,154271453.6,155204903,202111390.8,225592411.1,166857605.5,186063326,166541537.8,232283055.6,208192587.7
High,Master Protein,Q78T54,Vma21,Vacuolar ATPase assembly integral membrane protein Vma21,Vacuolar ATPase assembly integral membrane protein Vma21 OS=Mus musculus OX=10090 GN=Vma21 PE=1 SV=1,22,2,5,2,2,11.4,7.24,12.43,2,cell organization and biogenesis,other membranes;ER/Golgi,,,,0.782,5.22E-01,,0.87,8.22E-01,,0.741,7.32E-01,,0.674,7.19E-01,,40283152,37030372,53399844,32774713.38,26757032.25,51390344,14115599,18203233.38,30725042,9223762.5,39390938,22691238,8496568,24148140,26659471.88,36814564,25159665.25,34628428,18835462,28874932,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,67572789.59,59941685.94,108218115.1,57849456.16,85865925.61,52941795.99,50035988.72,50625911.12,48257869.86,35680632.24,67066654.28,32774500.21,12401537.88,51910659.87,55197308.75,66797966.38,39435619.93,46704253.17,57880309.46,59579067.32
High,Master Protein,O89020,Afm,Afamin,Afamin OS=Mus musculus OX=10090 GN=Afm PE=1 SV=2,14,6,21,6,6,69.3,5.78,19.73,6,transport;other biological processes,non-structural extracellular;other cell component,other molecular function,,,0.782,5.22E-01,,1.133,9.92E-01,,1.014,9.96E-01,,1.272,8.73E-01,,28247543.06,18412086.25,14485136.63,21481374.25,16837126.06,35467904.38,11176154.72,17113839.63,43799883.5,15905233.13,45937961,10016685.63,73994448.5,8718565.125,14650444.13,23944829.69,36764446.25,35825201.75,31876085.06,17373316.5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,49144744.89,30089859.81,29355032.99,37915993.46,55522481.66,35467904.38,39450982.8,47596144.37,67571344.71,62783059.87,78213556.34,17111295.02,91507034.86,18714516.69,32767636.12,43446553.61,57625120,48238503.66,93716887.57,37530520.5
High,Master Protein,Q6P5E6,Gga2,ADP-ribosylation factor-binding protein GGA2,ADP-ribosylation factor-binding protein GGA2 OS=Mus musculus OX=10090 GN=Gga2 PE=1 SV=1,8,3,6,2,2,66,7.3,8.3,3,transport;other biological processes,other membranes;ER/Golgi;other cytoplasmic organelle;other cell component,other molecular function,,,0.511,5.22E-01,,0.796,9.15E-01,,1.117,1.00E+00,,1.37,9.50E-01,,5218248.625,3928961.5,2533038,3923239,2296319.188,3998721,225414.0781,2872652.75,9798952,2226246.313,3910674.375,2392649.75,4251629.75,6756263.625,1577508.625,5481840.5,2499457.25,7156595.875,3118813.5,1599248.625,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,8482058.464,7048461.945,5236748.052,6924766.662,7369112.19,6430425.699,1477122.779,8575261.376,15117126.13,8611873.512,6658278.772,4064500.819,5198285.507,13867453.96,3513163.657,9946492.846,4515145.259,9486948.954,11440530.59,5190888.156
High,Master Protein,O35623,Bet1,BET1 homolog,BET1 homolog OS=Mus musculus OX=10090 GN=Bet1 PE=1 SV=1,25,2,21,2,2,13.3,9.07,21.12,2,cell organization and biogenesis;transport,other membranes;ER/Golgi,other molecular function,COPII-mediated vesicle transport; COPI-mediated anterograde transport,,1.831,5.27E-01,,1.316,9.53E-01,,1.66,4.80E-01,,0.547,6.34E-01,,61862000,72758826,41089637.63,20128828.63,20074713,88198305,22130953.5,19998374,23731880,5538820.75,3794088.625,73169285.88,58498495.13,29564145.5,30010394.38,7426919.25,42712474,50477689,9903837,17258876.88,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,100554254.6,113762258.5,83270713.91,35528664.3,64421711.53,90482543.98,75723676.81,56831097.91,37799020.01,23917826.63,6908135.155,102123671.2,72616414.39,60681383.89,62135252.03,13475729.4,66948143.95,66914391.59,29117652.84,35217430.55
High,Master Protein,Q6PDQ2,Chd4,Chromodomain-helicase-DNA-binding protein 4,Chromodomain-helicase-DNA-binding protein 4 OS=Mus musculus OX=10090 GN=Chd4 PE=1 SV=1,4,5,16,5,5,217.6,5.81,8.4,5,cell organization and biogenesis;other biological processes,cytoskeleton;nucleus;other cell component,nucleic acid binding activity;other molecular function,HDACs deacetylate histones; Regulation of TP53 Activity through Acetylation; RNA Polymerase I Transcription Initiation; Regulation of PTEN gene transcription; NGF-stimulated transcription,PluriNetWork: mechanisms associated with pluripotency,1.934,5.28E-01,,1.751,6.19E-01,,0.201,1.78E-02,DOWN,0.836,9.79E-01,,2743690.813,2737574.438,14657549.55,31041636,7147073.773,38162986.13,12094074.45,10215197.44,33407390.38,16338669.25,45726978.14,40380736.25,42357233.88,23132844.75,21427078.72,24344329.81,50383430.63,19534928.63,8254791.98,12769485.94,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,6429084.937,6371328.464,31763289.48,58727371.2,25468344.36,39063972.62,41966568.39,28409989.97,51538545.55,63944249.5,77854338.84,58405854.25,52728953.1,49999118.06,44899747.2,45131342.26,78971711.31,26038780.11,26553285.23,28021423.19
High,Master Protein,Q9CQW5,Lgals2,Galectin-2,Galectin-2 OS=Mus musculus OX=10090 GN=Lgals2 PE=1 SV=1,64,8,19,8,8,14.9,7.55,41.07,8,,other cell component,other molecular function,,,1.352,5.28E-01,,1.592,5.59E-03,,1,9.67E-01,,0.875,9.38E-01,,5675518730,7414416163,3674987877,8699496347,3224069181,14179587789,2440852577,4227376212,9502280087,4233629811,9517131662,8792618001,9986966528,9747926877,4954649817,11313682432,2058058741,9856260605,3079611663,4070536020,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,9233583523,11600166176,7456813585,15356651747,10354202761,14183589891,8268409304,11760426593,14664962521,16385110439,16203782172,12280214443,12219960965,20013631187,10265627460,20541004156,3230353993,13071536150,9061966279,8313705381
High,Master Protein,Q8K183,Pdxk,Pyridoxal kinase,Pyridoxal kinase OS=Mus musculus OX=10090 GN=Pdxk PE=1 SV=1,16,4,43,4,4,35,6.29,89.98,4,other metabolic processes;other biological processes,cytosol;nucleus,kinase activity;other molecular function,Neutrophil degranulation; Vitamins B6 activation to pyridoxal phosphate,,1.654,5.28E-01,,1.404,8.02E-01,,1.053,1.00E+00,,0.986,9.97E-01,,47954844.63,100973749,51472949.25,90152779,20697146.5,149827748.1,53664870.25,50236920.25,87430376,28972830.25,115680386.5,129797454,155569553,68326506.84,90245293.75,52094181.75,103913878.8,65086294.5,44631100.44,50892338,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,77948719,157877777.4,105374477.3,159125395.7,68587302.67,149827748.1,181790214.1,141819687.9,134881365,112369951.6,197810729.8,181160610.7,190208226.1,140242409.2,186849063.1,95022099.35,162876103,86279896.8,131217111.9,103847857.1
High,Master Protein,Q9WVP1,Ap1m2,AP-1 complex subunit mu-2,AP-1 complex subunit mu-2 OS=Mus musculus OX=10090 GN=Ap1m2 PE=1 SV=3,12,5,21,3,3,48.1,7.55,30.88,5,transport,other membranes;ER/Golgi;other cell component,other molecular function,Golgi Associated Vesicle Biogenesis; MHC class II antigen presentation; Lysosome Vesicle Biogenesis,,0.72,5.32E-01,,0.54,3.62E-01,,0.724,8.52E-01,,1.161,9.49E-01,,8779365.25,19022155.5,28973151.5,16315692,4856678,9356244,13416382,4565413.5,13172610,3875750.5,29635555.5,17087421,16611770,8092621.75,23624333,7960469.75,25641328,7387694.25,11376482,18488428.5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,14621330.69,29742142.51,58715898.92,28798235.34,16250534.68,11909704.56,45448110.56,13523189.02,21088324.2,15477132.95,50457228.39,25648213.28,22603825.16,19094224.7,48913182.1,16468074.59,40190585.03,10901725.07,33447284.46,37726379.96
High,Master Protein,P02535,Krt10,"Keratin, type I cytoskeletal 10","Keratin, type I cytoskeletal 10 OS=Mus musculus OX=10090 GN=Krt10 PE=1 SV=3",12,8,82,4,6,57.7,5.11,184.48,8,cell organization and biogenesis;developmental processes;other biological processes,cytoskeleton;other cell component,cytoskeletal activity;other molecular function,Formation of the cornified envelope,,1.446,5.32E-01,,1.355,6.49E-01,,0.977,9.18E-01,,0.45,2.99E-04,,521255890,393115208,901956408,146366886,230153579,472085470,126201619,129041368,368735851,150213179.5,248360632.5,408359746,544115932,85721647.5,266965966,228948180,243960650,431006332,111626838,84600752.88,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,847281003.9,614656343.1,1827870927,260111045.3,738585277.6,473707524.2,427509080.5,362897851.9,568859442.2,581075370.9,424636618.5,569954946.7,665267233.9,178665270,552741739.2,417365461.7,382387419.5,573744361.6,332179689.7,173413791.3
High,Master Protein,Q8VDW0,Ddx39a,ATP-dependent RNA helicase DDX39A,ATP-dependent RNA helicase DDX39A OS=Mus musculus OX=10090 GN=Ddx39a PE=1 SV=1,36,11,80,4,4,49,5.68,196.79,11,RNA metabolism OR transcription;other metabolic processes;transport,nucleus;other cell component,nucleic acid binding activity;other molecular function,Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; RNA Polymerase II Transcription Termination,mRNA processing,0.645,5.32E-01,,0.735,7.94E-01,,1.644,8.40E-01,,2.422,4.23E-01,,8866320,11878409,7807719.5,4805407.5,2695883,49977103.06,2480560.5,4698038.125,19754837.5,4227467,10432488.5,6396841.5,8284659.375,12361144.5,9553045.5,10148118.31,7418794,20880281.63,8436846.5,5234170.5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,16967004.21,18717433.54,19889067.08,10838199.8,10686302.22,49977103.06,10002786.68,13616837.24,32434443.15,20297486.23,18331339.49,10862999.87,12348989.34,27265334.7,21004412.02,19887979.82,14418375.04,27679384.08,26247210.73,13350371.61
High,Master Protein,Q7TQF7,Amph,Amphiphysin,Amphiphysin OS=Mus musculus OX=10090 GN=Amph PE=1 SV=1,2,2,3,1,1,75,4.63,2.13,2,transport;other biological processes,plasma membrane;other membranes;cytoskeleton;ER/Golgi;other cell component,other molecular function,Clathrin-mediated endocytosis,,0.583,5.32E-01,,1.511,9.19E-01,,0.066,1.92E-04,DOWN,0.737,9.59E-01,,,,8125464.5,8191529.5,,18217722,3627832,6498015.5,10306158,2907516.5,9594098,6420963,10212001,,,2919021.5,4654836,9384649,3616723.5,5225174,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1247738.665,718957.6809,16466760.69,14458571.19,2113997.091,18217722,12289312.41,18071951.74,15899607.47,11247256.96,16334824.36,8961852.044,12485776.02,1782642.802,555954.7669,5296401.175,7296056.665,12440507.69,10633302.96,10662177.14
High,Master Protein,Q9CXU9,Eif1b,Eukaryotic translation initiation factor 1b,Eukaryotic translation initiation factor 1b OS=Mus musculus OX=10090 GN=Eif1b PE=1 SV=2,65,6,55,1,1,12.8,7.37,164.87,6,protein metabolism;other metabolic processes,translational apparatus,translation activity;nucleic acid binding activity,,,0.516,5.32E-01,,0.54,7.73E-01,,0.622,7.96E-01,,0.752,9.49E-01,,19479905.5,,3395183.75,262559.1875,1094591.75,,394017.375,,,,,,,573536.0625,,1793806,,2908944,898177.0469,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,31663822.33,150786.9012,6880551.668,463433.6854,3512651.661,2246663.874,1334737.28,1393107.216,1460066.767,882116.9721,1596178.268,757547.1596,1578435.675,1177201.688,1998972.775,3254760.613,427905.4206,3856163.422,2640674.259,915637.579
High,Master Protein,Q3V0K9,Pls1,Plastin-1,Plastin-1 OS=Mus musculus OX=10090 GN=Pls1 PE=1 SV=1,15,7,28,5,5,70.4,5.38,50.73,7,cell organization and biogenesis;transport;developmental processes;other biological processes,cytosol;cytoskeleton;other cell component,cytoskeletal activity;other molecular function,,,0.631,5.32E-01,,1.441,9.46E-01,,0.578,7.03E-01,,1.163,9.60E-01,,,10876043.5,8907245.688,7762866.875,1609453.25,30734434.5,15659380.13,8899960.391,16676022.63,4395949.434,93339650.75,10091503.25,15087536.63,8604880.125,3436949.75,3381802.141,5554649.563,12644075.28,7123305.215,1679689.25,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,5782673.068,17005267.13,19216349.14,17162422.38,11033483.26,31587060.5,53647912.54,26208625.21,25726581.52,17005018.84,158919244,14464513.77,19492213.19,21049504.54,8765077.519,9774247.345,10969824.68,19962707.09,23319590.88,7884668.045
High,Master Protein,Q64314,Cd34,Hematopoietic progenitor cell antigen CD34,Hematopoietic progenitor cell antigen CD34 OS=Mus musculus OX=10090 GN=Cd34 PE=1 SV=1,7,2,11,2,2,41,5.3,4.76,2,cell adhesion;cell-cell signaling;cell cycle OR cell proliferation;cell organization and biogenesis;stress response;developmental processes;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;other cytoplasmic organelle;other cell component,other molecular function,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,,1.725,5.32E-01,,1.437,8.38E-01,,1.717,5.58E-01,,1.231,9.20E-01,,40965311,50179986.25,20776584,22946462.5,21774648,79990998,12138807.5,32582660.38,24660493.5,17552240,56301909.5,76907294,71921821,43719043.75,26282394.5,51320627,50133680,63565367.63,16926237.13,21823445,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,66587506.24,78459052.76,42105043.56,41877887.07,71856878.38,79990998,41120315.84,92187665.86,38044455.23,69427437.7,95859121.2,107340875.5,87935728.59,91004222.64,54416586,93118406,78580248.6,86671955.89,51846317.99,44531614.91
High,Master Protein,Q9D882,Fam241b,Protein FAM241B,Protein FAM241B OS=Mus musculus OX=10090 GN=Fam241b PE=1 SV=1,23,2,8,2,2,13.1,11.41,13.74,2,,other membranes;other cell component,,,,0.708,5.33E-01,,0.596,5.14E-01,,1.069,9.91E-01,,1.026,9.82E-01,,28775165,8880152,3112189,14514258,12436556,51467576,2358744.75,1259606.75,15749527.75,3691435.938,8633596,12546994,14001886,3783220,16337650.75,19794414.5,6297259.5,42994063.38,8521596.5,12884524,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,46772902.05,16021633.89,8057233.157,25618589.62,39910120.91,51467576,10149306.39,4650392.073,24297251.13,14279722.42,17183870,19226279.82,18023293.25,8283024.72,33826414.75,35915857.49,11810208.5,57341639.24,25053813.84,26291388.05
High,Master Protein,Q8R2Q8,Bst2,Bone marrow stromal antigen 2,Bone marrow stromal antigen 2 OS=Mus musculus OX=10090 GN=Bst2 PE=1 SV=1,6,1,6,1,1,19.1,7.34,12.76,1,stress response;other biological processes,plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component,enzyme regulator activity,Neutrophil degranulation,,0.745,5.33E-01,,0.694,5.04E-01,,0.799,8.80E-01,,1.255,8.93E-01,,28662566,15533185,22301244,23857698,11432169,63510364,10053823,10075288.75,25600647.5,7350183.375,23941860,19082330,48413593,28766582.5,18802058.75,18024344,25421084,39877877,21961177.25,14323393,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,46589876.8,24286953.28,45194862.17,42110356.2,36686945.09,63510364,34057412.74,28020883.01,39494857.95,28432994.66,40763194,26633546.73,59193225.57,59044359.52,38928867.26,32704163.62,39845371.42,52863035.74,64566686.13,29227457.96
High,Master Protein,P54869,Hmgcs2,"Hydroxymethylglutaryl-CoA synthase, mitochondrial","Hydroxymethylglutaryl-CoA synthase, mitochondrial OS=Mus musculus OX=10090 GN=Hmgcs2 PE=1 SV=2",28,11,71,10,10,56.8,8.41,146.18,11,other metabolic processes,mitochondrion,other molecular function,Synthesis of Ketone Bodies,PPAR signaling pathway; Cholesterol metabolism with Bloch and Kandutsch-Russell pathways; Synthesis and degradation of ketone bodies,0.931,5.34E-01,,0.925,8.45E-01,,0.61,1.15E-04,,1.235,3.23E-01,,980692735.5,295123681.3,697565692.9,404696733.6,469731071.5,1552124387,498601344.2,927493159.5,622507341.5,181391366.1,1130991270,1142183712,1285193993,886176933,587672450.3,915165387.3,2116112819,1494434493,594636471.4,165031099.5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1604742874,466284779.8,1418695219,716625391.6,1517185878,1553407684,1691268014,2584042365,961489400.5,705138384.5,1929531712,1595692871,1571351623,1821560862,1219274994,1664789539,3316825563,1981793674,1751597989,348626130.5
High,Master Protein,P83882,Rpl36a,60S ribosomal protein L36a,60S ribosomal protein L36a OS=Mus musculus OX=10090 GN=Rpl36a PE=3 SV=2,16,2,26,2,2,12.4,10.58,47.24,2,protein metabolism;other metabolic processes,plasma membrane;other membranes;cytosol;ER/Golgi;translational apparatus,other molecular function,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); Major pathway of rRNA processing in the nucleolus and cytosol; L13a-mediated translational silencing of Ceruloplasmin expression; SRP-dependent cotranslational protein targeting to membrane; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Cytoplasmic ribosomal proteins,1.402,5.34E-01,,0.369,6.98E-09,DOWN,0.281,7.39E-16,DOWN,0.727,4.04E-01,,28126876.38,573053842,484841120,407650370,26899846.75,212113740,258223212,14162710.5,438396036,28632928,103393630,570447498,585966302,13374578,363989306,5631573,479295918,12453468,178036981.6,441177398.9,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,45719134.32,895999879.3,982560775.1,719528861.7,86324231.27,212113740,874733373.5,39388613.45,676326220.6,110761847.3,176037058,796183699.5,716435888,28215505.21,753624460.3,10590627.55,751255291.7,18999095.51,523435414.3,900240178.9
High,Master Protein,Q91XA2,Golm1,Golgi membrane protein 1,Golgi membrane protein 1 OS=Mus musculus OX=10090 GN=Golm1 PE=1 SV=2,10,3,4,3,3,44.3,5.27,2,3,cell organization and biogenesis;other biological processes,other membranes;ER/Golgi,,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation,,2.575,5.34E-01,,1.333,9.73E-01,,0.529,7.03E-01,,0.38,5.66E-01,,3479947.25,4443637.5,,11658502,3442595.75,,4533444,10766327.75,,,18710575.5,16195636,10382945,10480321,4752462.5,5312914.5,3875323.5,,1951860.875,2127229,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,6921962.235,7278973.277,1678299.577,21177858.45,13413685.16,1899651.679,16268350.26,29942765.69,2833481.043,2095138.142,31856456.39,24353066.26,13927119.4,22505963.25,12355305.44,10972091.14,6682547.507,3950326.155,7978419.858,5094207.732
High,Master Protein,Q80TA1,Selenoi,Ethanolaminephosphotransferase 1,Ethanolaminephosphotransferase 1 OS=Mus musculus OX=10090 GN=Selenoi PE=2 SV=3,4,1,3,1,1,45.3,6.83,10.31,1,other metabolic processes,other membranes;ER/Golgi,other molecular function,Synthesis of PE,Selenium metabolism / selenoproteins,2.812,5.35E-01,,3.911,1.35E-01,,1.032,9.98E-01,,0.179,6.74E-02,,10647604,5705565,5762568.5,6821849,5573978.5,8692312,1079347.375,2932554,6792045,,8612652,6818340.5,3053286.25,1877119.125,5738026.5,8179800.5,2326619.25,9371195,,1055118.625,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,17307262.67,8920951.535,11678204.55,12040997.89,17887440.53,8692312,3656298.608,8155870.723,10478283.9,1411450.754,14663823.29,9516478.875,3733122.26,3852848.926,11880341.13,14841790.3,3646776.36,12422672.76,1442088.699,2153011.877
High,Master Protein,P62071,Rras2,Ras-related protein R-Ras2,Ras-related protein R-Ras2 OS=Mus musculus OX=10090 GN=Rras2 PE=1 SV=1,23,4,21,4,4,23.4,6.01,61.69,4,signal transduction;other biological processes,plasma membrane;other membranes;ER/Golgi,other molecular function,RND1 GTPase cycle,Regulation of actin cytoskeleton,1.908,5.36E-01,,1.996,2.76E-01,,0.579,4.13E-01,,0.465,3.08E-01,,8032766.375,42474567,35849236.5,33969833,6182731.25,44845657.25,22999367.25,17131128.25,38439252.5,12622736,38398550.88,51857156,46453235,22127245.5,41463777.5,21239672,29852277.25,28986841.88,4629755.25,12218839.5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,17888559.52,67901709.83,74890108.95,60158969.93,22468328.47,44845657.25,80121545.58,47644226.62,61291922.98,50888922.3,67117378.12,73525328.58,59284046.1,48049576.33,88003947.27,42642957.81,48100592.68,38425627.77,16949154.85,27986159.17
High,Master Protein,Q3UGR5,Hdhd2,Haloacid dehalogenase-like hydrolase domain-containing protein 2,Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Mus musculus OX=10090 GN=Hdhd2 PE=1 SV=2,11,2,8,2,2,28.7,6.05,15.42,2,other metabolic processes,,other molecular function,,,2.548,5.36E-01,,2.515,5.28E-01,,1.736,8.20E-01,,0.493,7.92E-01,,7685214.813,15155014.5,3131505.875,5615561.75,3777600.289,9083301.75,6734350.406,4781666.5,7902503,3122055,5231222.938,21328017.75,8036149.75,7701753,4288011.563,11404652.91,3289634.625,9814671.375,1350985.969,2396973.188,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,12492015.24,23695663.77,6346192.006,9911824.081,12122687.69,9083301.75,22812670.49,13761474.9,12191419.51,12407481.16,8906632.795,29767892.99,9825455.939,15808102.09,8878146.546,20693104.54,5156220.462,13010555.29,3971949.5,4891119.937
High,Master Protein,O70404,Vamp8,Vesicle-associated membrane protein 8,Vesicle-associated membrane protein 8 OS=Mus musculus OX=10090 GN=Vamp8 PE=1 SV=1,36,4,44,4,4,11.4,8.19,103.69,4,cell organization and biogenesis;other metabolic processes;stress response;transport;other biological processes,plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component,other molecular function,Golgi Associated Vesicle Biogenesis; Neutrophil degranulation; ER-Phagosome pathway; Cargo recognition for clathrin-mediated endocytosis; Lysosome Vesicle Biogenesis,,0.879,5.36E-01,,0.937,8.71E-01,,0.99,9.72E-01,,0.99,9.84E-01,,230680948,186597184,176286206.8,177518098.3,104134071.4,328787782.5,86774100.75,100517723.6,212006770.5,102508107.5,141905460,252507276.5,320914806.8,128462714.5,142918140,138882527,182438699.5,249522954.8,121521239.3,140714746,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,374962832.9,291754530,357254995.1,313330747.5,334176389.3,328787782.5,293948020,279554804.2,327068965.2,396536021.5,241606951,352428888.3,392368782.6,263673959.2,295905963,251994573.9,285957032.5,330773397.8,357277008.6,287134083.6
High,Master Protein,Q61646,Hp,Haptoglobin,Haptoglobin OS=Mus musculus OX=10090 GN=Hp PE=1 SV=1,5,2,4,2,2,38.7,6.29,7.5,2,protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes,non-structural extracellular;ER/Golgi;other cell component,other molecular function,Neutrophil degranulation; Scavenging of heme from plasma,,0.682,5.36E-01,,0.98,9.65E-01,,3.175,2.78E-01,,6.66,1.05E-03,UP,7340180,8248433.5,21100968,1606310.125,,48765475,23390389.5,8018038.5,10121038,8983837.875,8519496,19258069.5,60838153,8382852.5,9399776,,4273938.5,137451860,8389514.25,13012092,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,13044654.32,14060655.45,42762427.98,4266010.992,3540654.314,48765475,79235147.59,22299362.76,17789672.96,34752522.66,16012856.98,26878829.47,74384202.67,19294626.62,19461838.57,1480386.956,9132363.15,182209363.5,24665487.06,28411457.69
High,Master Protein,Q3UW53,Niban1,Protein Niban 1,Protein Niban 1 OS=Mus musculus OX=10090 GN=Niban1 PE=1 SV=2,35,24,178,24,24,102.6,4.78,346.23,24,stress response;other biological processes,plasma membrane;other membranes;cytosol;other cell component,,,PluriNetWork: mechanisms associated with pluripotency,0.927,5.38E-01,,0.79,1.96E-01,,0.854,3.88E-01,,0.881,9.40E-01,,789198720.4,659753413.1,682111585.8,764587518.9,362897331,1224344618,209296149.3,331259254.3,708594554.1,229271553.7,555676634.3,752242215,951429985.6,586240044,557530793.4,502436652.5,540861602.5,944124427.8,404435827.9,476262063.4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1287734673,1037603187,1384543921,1352865261,1168785132,1230918398,713451243.8,931046657.7,1097430157,893032651.8,952651596.8,1052801398,1163332991,1212011655,1158407341,917163902,855184968.3,1255141231,1191829146,976299866.2
High,Master Protein,P97370,Atp1b3,Sodium/potassium-transporting ATPase subunit beta-3,Sodium/potassium-transporting ATPase subunit beta-3 OS=Mus musculus OX=10090 GN=Atp1b3 PE=1 SV=1,30,6,49,6,6,31.8,8.51,118.89,6,transport;other biological processes,plasma membrane;other membranes;cytoskeleton;other cell component,transporter activity;other molecular function,Basigin interactions; Ion homeostasis; Ion transport by P-type ATPases,Calcium regulation in cardiac cells,1.523,5.40E-01,,1.252,8.68E-01,,1.043,9.96E-01,,0.718,5.84E-01,,108742176,209372251,113528956.3,136964260.4,51049889.19,200289312,89720415.88,30003896.5,179203861.5,24164104.27,126835957.8,229817645.5,204777333.1,45623623.88,123442483,71802500.38,221982484.5,105883764.6,56620836.06,142873319.8,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,179262250.5,328122606.9,232514218.3,244282203.2,163824072.4,201991979.9,304249454.6,87261810.55,276462970.5,94163454.11,216156756.5,323224936.7,250618679.5,94166340.99,257726868.7,132344265.7,349584840.4,144024794.8,166837722.5,291538739.9
